issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
TIKA-3083,0,0.999,0.999,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3054,6,0.6976,0.0,0.1003,0.0,0.202,0.0,0.0,0.6976
TIKA-3053,3,0.9997,0.0001,0.0001,0.0001,0.9997,0.0001,0.0001,0.0001
TIKA-3019,5,0.9996,0.0001,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001
TIKA-3018,5,0.9997,0.0001,0.0001,0.0001,0.0001,0.0001,0.9997,0.0001
TIKA-2956,1,0.9995,0.0001,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2953,1,0.9982,0.0003,0.9982,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-2952,1,0.9974,0.0004,0.9974,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-2930,2,0.9982,0.0003,0.0003,0.9982,0.0003,0.0003,0.0003,0.0003
TIKA-2890,1,0.9957,0.0007,0.9957,0.0007,0.0007,0.0007,0.0007,0.0007
TIKA-2885,1,0.9987,0.0002,0.9987,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2877,3,0.9994,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001
TIKA-2841,1,0.6638,0.0004,0.6638,0.0004,0.0004,0.3342,0.0004,0.0004
TIKA-2833,0,0.9975,0.9975,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-2762,4,0.9987,0.0002,0.0002,0.0002,0.0002,0.9987,0.0002,0.0002
TIKA-2749,0,0.9982,0.9982,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-2725,1,0.9991,0.0002,0.9991,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2720,1,0.7755,0.0002,0.7755,0.0002,0.0002,0.0002,0.2235,0.0002
TIKA-2717,1,0.8507,0.0,0.8507,0.0,0.0,0.0,0.149,0.0
TIKA-2686,1,0.9992,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2662,4,0.9986,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002
TIKA-2585,4,0.9992,0.0001,0.0001,0.0001,0.0001,0.9992,0.0001,0.0001
TIKA-2577,3,0.9994,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001
TIKA-2514,1,0.9991,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2499,1,0.9999,0.0,0.9999,0.0,0.0,0.0,0.0,0.0
TIKA-2434,1,0.9985,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2402,2,0.9074,0.0003,0.0003,0.9074,0.0517,0.0003,0.0396,0.0003
TIKA-2400,3,0.9979,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,0.0004
TIKA-2398,2,0.9996,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,0.0001
TIKA-2369,0,0.9988,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2349,4,0.9991,0.0001,0.0001,0.0001,0.0001,0.9991,0.0001,0.0001
TIKA-2322,0,0.9989,0.9989,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
