issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob
TIKA-1607,0,0.9993,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1582,7,0.8911,0.0,0.0,0.0,0.0,0.1087,0.0,0.0,0.8911,0.0,0.0
TIKA-1580,6,0.9994,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001
TIKA-1541,1,0.9993,0.0001,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1540,9,0.698,0.0005,0.0005,0.298,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.698
TIKA-1517,6,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0
TIKA-1466,1,0.9979,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-1425,4,0.9997,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,0.0,0.0
TIKA-1424,7,0.7733,0.0005,0.0005,0.0005,0.0005,0.0005,0.2231,0.0005,0.7733,0.0005,0.0005
TIKA-1420,8,0.999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.999,0.0001
TIKA-1336,4,0.8664,0.0003,0.0003,0.0003,0.0003,0.8664,0.0003,0.0003,0.0003,0.1312,0.0003
TIKA-1406,9,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998
TIKA-1385,4,0.5178,0.0002,0.0002,0.0002,0.0002,0.5178,0.0002,0.0002,0.0002,0.4804,0.0002
TIKA-1368,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002
TIKA-1330,8,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968,0.0004
TIKA-1296,1,0.9987,0.0001,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1294,2,0.9986,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-1265,1,0.9959,0.0005,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
